GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IPS Maven Webapp,com.service,UserServiceImpl,269,0,18,0,82,0,25,0,16,0
IPS Maven Webapp,com.service,TariffServiceImpl,102,0,2,0,19,0,14,0,13,0
IPS Maven Webapp,com.service,SubscriptionServiceImpl,85,0,2,0,19,0,12,0,11,0
IPS Maven Webapp,com.service,CustomerServiceImpl,104,0,4,0,25,0,13,0,11,0
IPS Maven Webapp,com.mapper,BusinessMapper,196,0,0,0,25,0,14,0,14,0
IPS Maven Webapp,com.dao,UserDao,251,336,18,10,73,90,14,11,4,7
IPS Maven Webapp,com.dao,DataSource,0,44,0,0,0,13,0,3,0,3
IPS Maven Webapp,com.dao,CustomerDao,809,0,38,0,214,0,33,0,14,0
IPS Maven Webapp,com.dao,TariffDao,809,0,32,0,217,0,29,0,13,0
IPS Maven Webapp,com.dao,SubscriptionDao,900,0,36,0,235,0,32,0,14,0
IPS Maven Webapp,com.exceptions,JWTException,16,0,0,0,8,0,4,0,4,0
IPS Maven Webapp,com.exceptions,TariffException,16,0,0,0,8,0,4,0,4,0
IPS Maven Webapp,com.exceptions,ExceptionType,48,0,0,0,8,0,3,0,3,0
IPS Maven Webapp,com.exceptions,UserException,45,4,4,0,11,2,7,1,4,1
IPS Maven Webapp,com.exceptions,SubscriptionException,16,0,0,0,8,0,4,0,4,0
IPS Maven Webapp,com.servlets.subscriptions,OpenPageService,87,0,2,0,21,0,4,0,3,0
IPS Maven Webapp,com.servlets.subscriptions,AddTariffForSubServlet,85,0,0,0,20,0,2,0,2,0
IPS Maven Webapp,com.servlets.subscriptions,UpdateSubServ,56,0,2,0,14,0,4,0,3,0
IPS Maven Webapp,com.servlets.subscriptions,DeleteSubscriptionsServlet,23,0,0,0,7,0,2,0,2,0
IPS Maven Webapp,com.servlets.subscriptions,SubscriptionsPaginationServlet,86,0,2,0,23,0,3,0,2,0
IPS Maven Webapp,com.servlets.subscriptions,AddSubscriptionServlet,50,0,0,0,14,0,3,0,3,0
IPS Maven Webapp,com.servlets.subscriptions,SortingServlet,62,0,6,0,14,0,7,0,4,0
IPS Maven Webapp,com.servlets.subscriptions,UpdateSubscriptionServlet,35,0,2,0,11,0,3,0,2,0
IPS Maven Webapp,com.servlets.login,LoginPageServlet,114,0,8,0,31,0,9,0,5,0
IPS Maven Webapp,com.servlets.customer,UpdateFormCustomerServlet,57,0,2,0,15,0,4,0,3,0
IPS Maven Webapp,com.servlets.customer,PersonalCabinetServlet,88,0,0,0,19,0,2,0,2,0
IPS Maven Webapp,com.servlets.customer,AddTariffCustomer,78,0,8,0,20,0,6,0,2,0
IPS Maven Webapp,com.servlets.customer,AddFormBalanceServlet,50,0,2,0,13,0,4,0,3,0
IPS Maven Webapp,com.servlets.customer,AddBalanceServlet,51,0,0,0,13,0,3,0,3,0
IPS Maven Webapp,com.servlets.customer,DeleteTariffCustomer,42,0,4,0,12,0,4,0,2,0
IPS Maven Webapp,com.servlets.customer,UpdateProfileCustomer,35,0,2,0,11,0,3,0,2,0
IPS Maven Webapp,com.servlets.customer,DownLoadPriceServicesServlet,22,0,0,0,9,0,2,0,2,0
IPS Maven Webapp,com.model,Tariff,188,0,6,0,53,0,25,0,22,0
IPS Maven Webapp,com.model,User,33,126,1,1,13,35,6,17,5,17
IPS Maven Webapp,com.model,Customer,241,0,2,0,71,0,28,0,27,0
IPS Maven Webapp,com.model,ServiceType,44,0,0,0,2,0,1,0,1,0
IPS Maven Webapp,com.model,Role,0,34,0,0,0,2,0,1,0,1
